;pedido;refs;desc;unid;nat;valor_ab;valor_prod;valor_un;quantidade_a;quantidadef;quantidad_s;emissao;entrega;oc_pedido;urls;lote_pedidos;loja_responsavel;status_pedidos;tipo_pedidos;totais;datas_entrega;datas;cliente_pedidos;pedido_oc;referencias_pedidos
0;232209;B1521.1937;BASE EDITAVEL 1052 X 324 X 15 BRA;M2;610100;37.38;37.38;37.38;1.00;0.00;1.00;24/02/2023;17/03/2023;125LUDMILACSCOZINH;https://consultasweb.promob.com/orderitems?orderid=232209;7040;MY BOX BELO HORIZONTE;L;V;6078.89;17/03/2023;24/02/2023;1666;125LUDMILACSCOZINH;232209
1;232209;B1521.1898;BASE EDITAVEL 1062 X 324 X 15 BRA;M2;610100;37.67;37.67;37.67;1.00;0.00;1.00;24/02/2023;17/03/2023;125LUDMILACSCOZINH;https://consultasweb.promob.com/orderitems?orderid=232209;7040;MY BOX BELO HORIZONTE;L;V;6078.89;17/03/2023;24/02/2023;1666;125LUDMILACSCOZINH;232209
2;232209;B1521.1898;BASE EDITAVEL 1062 X 324 X 15 BRA;M2;610100;37.67;37.67;37.67;1.00;0.00;1.00;24/02/2023;17/03/2023;125LUDMILACSCOZINH;https://consultasweb.promob.com/orderitems?orderid=232209;7040;MY BOX BELO HORIZONTE;L;V;6078.89;17/03/2023;24/02/2023;1666;125LUDMILACSCOZINH;232209
3;232209;B1521.1473;BASE EDITAVEL 437 X 324 X 15 BRA;M2;610100;19.75;19.75;19.75;1.00;0.00;1.00;24/02/2023;17/03/2023;125LUDMILACSCOZINH;https://consultasweb.promob.com/orderitems?orderid=232209;7040;MY BOX BELO HORIZONTE;L;V;6078.89;17/03/2023;24/02/2023;1666;125LUDMILACSCOZINH;232209
4;232209;B1521.1473;BASE EDITAVEL 437 X 324 X 15 BRA;M2;610100;19.75;19.75;19.75;1.00;0.00;1.00;24/02/2023;17/03/2023;125LUDMILACSCOZINH;https://consultasweb.promob.com/orderitems?orderid=232209;7040;MY BOX BELO HORIZONTE;L;V;6078.89;17/03/2023;24/02/2023;1666;125LUDMILACSCOZINH;232209
5;232209;B1521.1498;BASE EDITAVEL 734 X 324 X 15 BRA;M2;610100;28.26;28.26;28.26;1.00;0.00;1.00;24/02/2023;17/03/2023;125LUDMILACSCOZINH;https://consultasweb.promob.com/orderitems?orderid=232209;7040;MY BOX BELO HORIZONTE;L;V;6078.89;17/03/2023;24/02/2023;1666;125LUDMILACSCOZINH;232209
6;232209;B1521.1498;BASE EDITAVEL 734 X 324 X 15 BRA;M2;610100;28.26;28.26;28.26;1.00;0.00;1.00;24/02/2023;17/03/2023;125LUDMILACSCOZINH;https://consultasweb.promob.com/orderitems?orderid=232209;7040;MY BOX BELO HORIZONTE;L;V;6078.89;17/03/2023;24/02/2023;1666;125LUDMILACSCOZINH;232209
7;232209;B1519.0228;BASE EDITAVEL 734 X 500 X 15 BRA;M2;610100;33.49;33.49;33.49;1.00;0.00;1.00;24/02/2023;17/03/2023;125LUDMILACSCOZINH;https://consultasweb.promob.com/orderitems?orderid=232209;7040;MY BOX BELO HORIZONTE;L;V;6078.89;17/03/2023;24/02/2023;1666;125LUDMILACSCOZINH;232209
8;232209;L15108.0182;LAT EDITAVEL DIR INF 660 X 324 X 15 BRA;M2;610100;22.49;22.49;22.49;1.00;0.00;1.00;24/02/2023;17/03/2023;125LUDMILACSCOZINH;https://consultasweb.promob.com/orderitems?orderid=232209;7040;MY BOX BELO HORIZONTE;L;V;6078.89;17/03/2023;24/02/2023;1666;125LUDMILACSCOZINH;232209
9;232209;L1598.0297;LAT EDITAVEL DIR INF 780 X 500 X 15 BRA;M2;610100;34.90;34.90;34.90;1.00;0.00;1.00;24/02/2023;17/03/2023;125LUDMILACSCOZINH;https://consultasweb.promob.com/orderitems?orderid=232209;7040;MY BOX BELO HORIZONTE;L;V;6078.89;17/03/2023;24/02/2023;1666;125LUDMILACSCOZINH;232209
