,urls,referenciapedido,pedidooc,cliente,lote,loja,status,tipo,total,dataentrega,datas
0,https://consultasweb.promob.com/orderitems?orderid=234896,234896,LACA13252_75_HENRIQUENERY_COZINHANOVO,1666,7056,MY BOX BELO HORIZONTE,L,A,118.53,13/03/2023,28/02/2023
1,https://consultasweb.promob.com/orderitems?orderid=234458,234458,ABL351 HOME JULIMAR,1505,0,MY BOX PIRACICABA,L,V,2445.08,30/03/2023,09/03/2023
2,https://consultasweb.promob.com/orderitems?orderid=235590,235590,ABL3291 DORM CASALMATHEUS BRITO,1505,0,MY BOX PIRACICABA,B,V,6014.82,23/03/2023,06/03/2023
3,https://consultasweb.promob.com/orderitems?orderid=235987,235987,ABL314COZINHAJULIO,1505,0,MY BOX PIRACICABA,L,A,71.33,31/03/2023,10/03/2023
4,https://consultasweb.promob.com/orderitems?orderid=236034,236034,ABL 366COMPLEMENTO,1505,0,MY BOX PIRACICABA,B,V,193.05,16/03/2023,10/03/2023
5,https://consultasweb.promob.com/orderitems?orderid=236052,236052,ABL 367COZINHA,1505,0,MY BOX PIRACICABA,A,V,2272.69,16/03/2023,10/03/2023
6,https://consultasweb.promob.com/orderitems?orderid=235353,235353,ABL317GOURMETJOSY,1505,7082,MY BOX PIRACICABA,L,A,16.54,31/03/2023,03/03/2023
7,https://consultasweb.promob.com/orderitems?orderid=235358,235358,ABL302HOMECAROL E,1505,7082,MY BOX PIRACICABA,L,A,393.12,13/03/2023,03/03/2023
8,https://consultasweb.promob.com/orderitems?orderid=236060,236060,ABL 368LAVANDERIA,1505,0,MY BOX PIRACICABA,A,V,695.09,21/03/2023,10/03/2023
9,https://consultasweb.promob.com/orderitems?orderid=234953,234953,ASSBELINE,1505,7044,MY BOX PIRACICABA,T,A,80.80,13/03/2023,28/02/2023
10,https://consultasweb.promob.com/orderitems?orderid=235819,235819,ASSBELINE,1505,7077,MY BOX PIRACICABA,T,A,80.80,14/03/2023,08/03/2023
11,https://consultasweb.promob.com/orderitems?orderid=235837,235837,ABL341 DORM DANNY,1505,0,MY BOX PIRACICABA,B,V,3465.10,30/03/2023,08/03/2023
12,https://consultasweb.promob.com/orderitems?orderid=234906,234906,ABL299 COZ CAROLINA,1505,7056,MY BOX PIRACICABA,T,A,71.94,24/03/2023,28/02/2023
13,https://consultasweb.promob.com/orderitems?orderid=235140,235140,ABL319DORMCASALARI,1505,7056,MY BOX PIRACICABA,T,A,89.44,30/03/2023,01/03/2023
14,https://consultasweb.promob.com/orderitems?orderid=234976,234976,ABL 352 COMPLEMENTO,1505,0,MY BOX PIRACICABA,L,V,181.74,30/03/2023,09/03/2023
